Odorant,Winning probability,Reward (MU),beta (log-odds),SE,95% CI low,95% CI high,p,p (FDR within winning-probability level)
Timberol,0.5,480,-0.76,0.372,-1.489,-0.03,0.0412,0.412
Cadaverine,0.75,480,-0.593,0.38,-1.339,0.153,0.119,0.3661
Caproic acid,0.75,480,-0.52,0.341,-1.187,0.148,0.1271,0.3661
Citral,0.75,480,-1.328,0.395,-2.101,-0.555,8e-04,0.0458
Myrcene,0.75,480,0.759,0.36,0.053,1.465,0.035,0.214
Trimethylamine,0.75,480,-0.002,0.464,-0.912,0.909,0.9969,0.9969
Timberol,0.75,480,-0.486,0.399,-1.269,0.296,0.2233,0.4513
Cadaverine,0.25,500,0.024,0.332,-0.627,0.674,0.9426,0.9668
Caproic acid,0.25,500,0.202,0.299,-0.384,0.788,0.4995,0.6811
Citral,0.25,500,-0.434,0.345,-1.11,0.243,0.209,0.33
Myrcene,0.25,500,0.162,0.355,-0.535,0.858,0.6487,0.795
Trimethylamine,0.25,500,0.841,0.385,0.087,1.596,0.0289,0.0654
Timberol,0.25,500,-0.071,0.307,-0.673,0.531,0.8169,0.8988
Cadaverine,0.5,500,-0.554,0.373,-1.285,0.177,0.1372,0.5984
Caproic acid,0.5,500,-0.654,0.329,-1.299,-0.01,0.0466,0.43
Citral,0.5,500,-1.401,0.38,-2.146,-0.656,2e-04,0.0274
Myrcene,0.5,500,0.268,0.352,-0.423,0.959,0.4468,0.9416
